frame.number;_ws.col.Time;_ws.col.Source;_ws.col.Destination;_ws.col.Protocol;_ws.col.Length;_ws.col.Info
20268;1250.425287;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2212
20269;1250.425542;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2212
20270;1250.437551;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2213
20271;1250.437776;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2213
20272;1250.449477;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2214
20273;1250.449761;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2214
20274;1250.461182;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2215
20275;1250.461358;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2215
20276;1250.473634;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2216
20277;1250.473967;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2216
20278;1250.486497;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2217
20279;1250.487090;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2217
20280;1250.498927;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2218
20281;1250.499376;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2218
20282;1250.510708;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2219
20283;1250.510901;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2219
20284;1250.522250;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2220
20285;1250.522561;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2220
20286;1250.533783;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2221
20287;1250.534038;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2221
20288;1250.545420;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2222
20289;1250.545636;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2222
20290;1250.556576;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2223
20291;1250.556824;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2223
20292;1250.568389;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2224
20293;1250.568583;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2224
20294;1250.579461;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2225
20295;1250.579824;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2225
20296;1250.591713;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2226
20297;1250.591900;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2226
20298;1250.603515;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2227
20299;1250.603718;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2227
20300;1250.614866;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2228
20301;1250.615125;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2228
20302;1250.626617;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2229
20303;1250.626875;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2229
20304;1250.637797;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2230
20305;1250.638152;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2230
20306;1254.762552;00:0c:29:f6:90:b1;00:0c:29:ca:8d:41;ARP;60;Who has 10.10.10.20? Tell 10.10.10.10
20307;1254.762591;00:0c:29:ca:8d:41;00:0c:29:f6:90:b1;ARP;42;10.10.10.20 is at 00:0c:29:ca:8d:41
20308;1256.657861;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2231
20309;1256.658113;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2231
20310;1256.669215;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2232
20311;1256.669435;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2232
20312;1256.681055;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2233
20313;1256.681306;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2233
20314;1256.692306;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2234
20315;1256.692574;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2234
20316;1256.703924;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2235
20317;1256.704157;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2235
20318;1256.715641;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2236
20319;1256.715836;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2236
20320;1256.728062;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2237
20321;1256.728310;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2237
20322;1256.739302;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2238
20323;1256.739515;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2238
20324;1256.750624;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2239
20325;1256.750830;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2239
20326;1256.761998;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2240
20327;1256.762349;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2240
20328;1256.774308;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2241
20329;1256.774496;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2241
20330;1256.785245;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2242
20331;1256.785442;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2242
20332;1256.796256;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2243
20333;1256.796521;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2243
20334;1256.809421;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2244
20335;1256.809612;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2244
20336;1256.820406;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2245
20337;1256.820606;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2245
20338;1256.831462;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2246
20339;1256.831674;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2246
20340;1262.850351;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2247
